[dataset]
  dataset = fsq
  csv = data/tky_clean.csv
  cat_col = category
  categories = ['Dining and Drinking', 'Retail', 'Nightlife Spot', 'Community and Government', 'Travel and Transportation', 'Business and Professional Services', 'Landmarks and Outdoors', 'Arts and Entertainment', 'Health and Medicine', 'Sports and Recreation']
  half_width = 50.0
  cell = 15
  center_step = 100
  min_poi = 10
  crs = EPSG:6677

[hparams]
  LATENT_DIM = 2
  EPOCHS = 1000
  BATCH = 256
  LR = 0.001
  WEIGHT_DECAY = 1e-06
  VAL_FRAC = 0.1
  SEED = 0
  ALPHA_INIT = 0.2
  ALPHA_LEARN = False
  GAT_LR_MULT = 0.2
  GAT_DIM = 16
  GAT_HEADS = 4
  GAT_LAYERS = 2
  GAT_READOUT_DIM = 1
  N_NEIGHBORS = 15
  GRAPH_METRIC = euclidean
  EDGE_BATCH = 256
  LAMBDA_FSCE = 0.01
  WARMUP_EPOCHS = 200
  NOISE_P = 0.3
  NOISE_MODE = thinning
  NOISE_OD_P = 0.3

1233 個 patch，device=mps，噪聲 thinning p=0.3
OD：100.0% 的 patch 有觀測，總量中位數 44，最大 10449
FSCE graph：24900 條邊，a=1.5769 b=0.8951
參數量 38173（GAT 分支 11537，lr x0.2）
epoch  215 | train_nll -1.28457 | train_fsce 0.50903 | val_dev 0.75096 | expl_dev 0.49221 | gat_gain +0.02337 | alpha 0.2000
epoch  220 | train_nll -1.28179 | train_fsce 0.50789 | val_dev 0.74103 | expl_dev 0.49893 | gat_gain +0.02300 | alpha 0.2000 *
epoch  225 | train_nll -1.28549 | train_fsce 0.49956 | val_dev 0.73910 | expl_dev 0.50023 | gat_gain +0.02081 | alpha 0.2000 *
epoch  230 | train_nll -1.28614 | train_fsce 0.51559 | val_dev 0.73349 | expl_dev 0.50403 | gat_gain +0.02244 | alpha 0.2000 *
epoch  235 | train_nll -1.28799 | train_fsce 0.49572 | val_dev 0.74125 | expl_dev 0.49878 | gat_gain +0.04344 | alpha 0.2000
epoch  240 | train_nll -1.29150 | train_fsce 0.49809 | val_dev 0.73415 | expl_dev 0.50358 | gat_gain +0.02577 | alpha 0.2000
epoch  245 | train_nll -1.28916 | train_fsce 0.51113 | val_dev 0.72875 | expl_dev 0.50723 | gat_gain +0.01999 | alpha 0.2000 *
epoch  250 | train_nll -1.29101 | train_fsce 0.51058 | val_dev 0.72450 | expl_dev 0.51011 | gat_gain +0.02148 | alpha 0.2000 *
epoch  255 | train_nll -1.28927 | train_fsce 0.49805 | val_dev 0.72392 | expl_dev 0.51050 | gat_gain +0.03957 | alpha 0.2000 *
epoch  260 | train_nll -1.28811 | train_fsce 0.49747 | val_dev 0.73633 | expl_dev 0.50211 | gat_gain +0.03535 | alpha 0.2000
epoch  265 | train_nll -1.29390 | train_fsce 0.49562 | val_dev 0.73973 | expl_dev 0.49981 | gat_gain +0.02212 | alpha 0.2000
epoch  270 | train_nll -1.29025 | train_fsce 0.49488 | val_dev 0.73320 | expl_dev 0.50423 | gat_gain +0.03313 | alpha 0.2000
epoch  275 | train_nll -1.29604 | train_fsce 0.48928 | val_dev 0.72460 | expl_dev 0.51004 | gat_gain +0.03310 | alpha 0.2000
epoch  280 | train_nll -1.29745 | train_fsce 0.48168 | val_dev 0.72335 | expl_dev 0.51089 | gat_gain +0.02739 | alpha 0.2000 *
epoch  285 | train_nll -1.29179 | train_fsce 0.47897 | val_dev 0.72762 | expl_dev 0.50800 | gat_gain +0.03553 | alpha 0.2000
epoch  290 | train_nll -1.29720 | train_fsce 0.50423 | val_dev 0.72231 | expl_dev 0.51159 | gat_gain +0.02438 | alpha 0.2000 *
epoch  295 | train_nll -1.30372 | train_fsce 0.50125 | val_dev 0.71660 | expl_dev 0.51545 | gat_gain +0.03455 | alpha 0.2000 *
