[dataset]
  dataset = fsq
  csv = data/tky_clean.csv
  cat_col = category
  categories = ['Dining and Drinking', 'Retail', 'Nightlife Spot', 'Community and Government', 'Travel and Transportation', 'Business and Professional Services', 'Landmarks and Outdoors', 'Arts and Entertainment', 'Health and Medicine', 'Sports and Recreation']
  half_width = 50.0
  cell = 15
  center_step = 100
  min_poi = 10
  crs = EPSG:6677

[hparams]
  LATENT_DIM = 2
  EPOCHS = 1000
  BATCH = 256
  LR = 0.001
  WEIGHT_DECAY = 1e-06
  VAL_FRAC = 0.1
  SEED = 0
  ALPHA_INIT = 0.1
  ALPHA_LEARN = False
  GAT_LR_MULT = 0.2
  GAT_DIM = 16
  GAT_HEADS = 4
  GAT_LAYERS = 2
  GAT_READOUT_DIM = 1
  N_NEIGHBORS = 15
  GRAPH_METRIC = euclidean
  EDGE_BATCH = 256
  LAMBDA_FSCE = 0.01
  WARMUP_EPOCHS = 200
  NOISE_P = 0.3
  NOISE_MODE = thinning
  NOISE_OD_P = 0.3

1233 個 patch，device=mps，噪聲 thinning p=0.3
OD：100.0% 的 patch 有觀測，總量中位數 44，最大 10449
FSCE graph：24900 條邊，a=1.5769 b=0.8951
參數量 55071（GAT 分支 11537，lr x0.2）
epoch  220 | train_nll -1.24902 | train_fsce 0.53894 | val_dev 0.80489 | expl_dev 0.45575 | gat_gain +0.08505 | alpha 0.1000
epoch  225 | train_nll -1.26520 | train_fsce 0.56159 | val_dev 0.80234 | expl_dev 0.45748 | gat_gain +0.03716 | alpha 0.1000
epoch  230 | train_nll -1.27492 | train_fsce 0.55611 | val_dev 0.77108 | expl_dev 0.47861 | gat_gain +0.05204 | alpha 0.1000
epoch  235 | train_nll -1.28326 | train_fsce 0.55054 | val_dev 0.75129 | expl_dev 0.49199 | gat_gain +0.03824 | alpha 0.1000
epoch  240 | train_nll -1.28807 | train_fsce 0.53739 | val_dev 0.75054 | expl_dev 0.49250 | gat_gain +0.04487 | alpha 0.1000
epoch  245 | train_nll -1.28405 | train_fsce 0.53617 | val_dev 0.76303 | expl_dev 0.48406 | gat_gain +0.04558 | alpha 0.1000
epoch  250 | train_nll -1.29041 | train_fsce 0.55797 | val_dev 0.76134 | expl_dev 0.48520 | gat_gain +0.04478 | alpha 0.1000
epoch  255 | train_nll -1.27508 | train_fsce 0.55813 | val_dev 0.77989 | expl_dev 0.47266 | gat_gain +0.05242 | alpha 0.1000
epoch  260 | train_nll -1.28834 | train_fsce 0.55325 | val_dev 0.75633 | expl_dev 0.48859 | gat_gain +0.04011 | alpha 0.1000
epoch  265 | train_nll -1.29391 | train_fsce 0.51706 | val_dev 0.74921 | expl_dev 0.49340 | gat_gain +0.01636 | alpha 0.1000
epoch  270 | train_nll -1.29452 | train_fsce 0.53083 | val_dev 0.75007 | expl_dev 0.49282 | gat_gain +0.01343 | alpha 0.1000
epoch  275 | train_nll -1.28630 | train_fsce 0.51966 | val_dev 0.71958 | expl_dev 0.51343 | gat_gain +0.03817 | alpha 0.1000 *
epoch  280 | train_nll -1.29033 | train_fsce 0.53423 | val_dev 0.75250 | expl_dev 0.49118 | gat_gain +0.04371 | alpha 0.1000
epoch  285 | train_nll -1.28397 | train_fsce 0.52545 | val_dev 0.75718 | expl_dev 0.48801 | gat_gain +0.04109 | alpha 0.1000
epoch  290 | train_nll -1.29474 | train_fsce 0.55462 | val_dev 0.74471 | expl_dev 0.49644 | gat_gain +0.03538 | alpha 0.1000
epoch  295 | train_nll -1.29706 | train_fsce 0.51960 | val_dev 0.73273 | expl_dev 0.50455 | gat_gain +0.02743 | alpha 0.1000
epoch  300 | train_nll -1.27296 | train_fsce 0.51037 | val_dev 0.74272 | expl_dev 0.49779 | gat_gain +0.06017 | alpha 0.1000
epoch  305 | train_nll -1.29282 | train_fsce 0.50293 | val_dev 0.72909 | expl_dev 0.50701 | gat_gain +0.04219 | alpha 0.1000
epoch  310 | train_nll -1.30261 | train_fsce 0.53894 | val_dev 0.73129 | expl_dev 0.50552 | gat_gain +0.03777 | alpha 0.1000
epoch  315 | train_nll -1.30152 | train_fsce 0.51843 | val_dev 0.71903 | expl_dev 0.51381 | gat_gain +0.03431 | alpha 0.1000 *
epoch  320 | train_nll -1.30527 | train_fsce 0.52439 | val_dev 0.73411 | expl_dev 0.50361 | gat_gain +0.05221 | alpha 0.1000
epoch  325 | train_nll -1.28911 | train_fsce 0.50981 | val_dev 0.76377 | expl_dev 0.48356 | gat_gain +0.04318 | alpha 0.1000
epoch  330 | train_nll -1.30041 | train_fsce 0.52408 | val_dev 0.76024 | expl_dev 0.48594 | gat_gain +0.04464 | alpha 0.1000
epoch  335 | train_nll -1.27779 | train_fsce 0.53562 | val_dev 0.78261 | expl_dev 0.47081 | gat_gain +0.03200 | alpha 0.1000
epoch  340 | train_nll -1.29890 | train_fsce 0.49617 | val_dev 0.74769 | expl_dev 0.49443 | gat_gain +0.03618 | alpha 0.1000
epoch  345 | train_nll -1.30783 | train_fsce 0.53290 | val_dev 0.73033 | expl_dev 0.50617 | gat_gain +0.03018 | alpha 0.1000
epoch  350 | train_nll -1.28341 | train_fsce 0.53097 | val_dev 0.75539 | expl_dev 0.48922 | gat_gain +0.08235 | alpha 0.1000
