[dataset]
  dataset = fsq
  csv = data/tky_clean.csv
  cat_col = category
  categories = ['Dining and Drinking', 'Retail', 'Nightlife Spot', 'Community and Government', 'Travel and Transportation', 'Business and Professional Services', 'Landmarks and Outdoors', 'Arts and Entertainment', 'Health and Medicine', 'Sports and Recreation']
  half_width = 50.0
  cell = 15
  center_step = 100
  min_poi = 10
  crs = EPSG:6677

[hparams]
  LATENT_DIM = 2
  EPOCHS = 1000
  BATCH = 256
  LR = 0.001
  WEIGHT_DECAY = 1e-06
  VAL_FRAC = 0.1
  SEED = 0
  ALPHA_INIT = 0.5
  ALPHA_LEARN = False
  GAT_LR_MULT = 0.2
  GAT_DIM = 16
  GAT_HEADS = 4
  GAT_LAYERS = 2
  GAT_READOUT_DIM = 1
  N_NEIGHBORS = 15
  GRAPH_METRIC = euclidean
  EDGE_BATCH = 256
  LAMBDA_FSCE = 0.01
  WARMUP_EPOCHS = 200
  NOISE_P = 0.3
  NOISE_MODE = thinning
  NOISE_OD_P = 0.3

1233 個 patch，device=mps，噪聲 thinning p=0.3
OD：100.0% 的 patch 有觀測，總量中位數 44，最大 10449
FSCE graph：24900 條邊，a=1.5769 b=0.8951
參數量 38173（GAT 分支 11537，lr x0.2）
epoch  240 | train_nll -1.29581 | train_fsce 0.56896 | val_dev 0.74184 | expl_dev 0.49839 | gat_gain +0.04385 | alpha 0.5000
epoch  245 | train_nll -1.29630 | train_fsce 0.55684 | val_dev 0.73623 | expl_dev 0.50218 | gat_gain +0.04353 | alpha 0.5000
epoch  250 | train_nll -1.29614 | train_fsce 0.56078 | val_dev 0.73416 | expl_dev 0.50358 | gat_gain +0.04563 | alpha 0.5000
epoch  255 | train_nll -1.29694 | train_fsce 0.55256 | val_dev 0.73361 | expl_dev 0.50395 | gat_gain +0.04413 | alpha 0.5000
epoch  260 | train_nll -1.29281 | train_fsce 0.55616 | val_dev 0.74165 | expl_dev 0.49851 | gat_gain +0.04098 | alpha 0.5000
epoch  265 | train_nll -1.28589 | train_fsce 0.54723 | val_dev 0.74771 | expl_dev 0.49442 | gat_gain +0.03815 | alpha 0.5000
epoch  270 | train_nll -1.29447 | train_fsce 0.54709 | val_dev 0.74661 | expl_dev 0.49516 | gat_gain +0.03536 | alpha 0.5000
epoch  275 | train_nll -1.29621 | train_fsce 0.53805 | val_dev 0.73676 | expl_dev 0.50181 | gat_gain +0.05275 | alpha 0.5000
epoch  280 | train_nll -1.29556 | train_fsce 0.54160 | val_dev 0.73956 | expl_dev 0.49992 | gat_gain +0.04720 | alpha 0.5000
epoch  285 | train_nll -1.29460 | train_fsce 0.54224 | val_dev 0.74296 | expl_dev 0.49763 | gat_gain +0.04970 | alpha 0.5000
