[dataset]
  dataset = fsq
  csv = data/tky_clean.csv
  cat_col = category
  categories = ['Dining and Drinking', 'Retail', 'Nightlife Spot', 'Community and Government', 'Travel and Transportation', 'Business and Professional Services', 'Landmarks and Outdoors', 'Arts and Entertainment', 'Health and Medicine', 'Sports and Recreation']
  half_width = 50.0
  cell = 15
  center_step = 100
  min_poi = 10
  crs = EPSG:6677

[hparams]
  LATENT_DIM = 2
  EPOCHS = 1000
  BATCH = 256
  LR = 0.001
  WEIGHT_DECAY = 1e-06
  VAL_FRAC = 0.1
  SEED = 0
  N_NEIGHBORS = 15
  GRAPH_METRIC = euclidean
  EDGE_BATCH = 256
  LAMBDA_FSCE = 0.01
  WARMUP_EPOCHS = 200
  NOISE_P = 0.3
  NOISE_MODE = thinning
  N_EXPERTS = 2
  ROUTER_TEMPERATURE = 0.7
  MOE_SCALE = 1.0

1233 個 patch，device=cpu，噪聲 thinning p=0.3
FSCE graph：24904 條邊，a=1.5769 b=0.8951
epoch  310 | train_nll -1.32185 | train_fsce 0.66474 | gate_usage [0.353,0.647] | val_dev 0.66956 | expl_dev 0.54726
epoch  315 | train_nll -1.31651 | train_fsce 0.70328 | gate_usage [0.339,0.661] | val_dev 0.72813 | expl_dev 0.50766
epoch  320 | train_nll -1.31211 | train_fsce 0.67467 | gate_usage [0.324,0.676] | val_dev 0.72032 | expl_dev 0.51293
epoch  325 | train_nll -1.31357 | train_fsce 0.66575 | gate_usage [0.374,0.626] | val_dev 0.70891 | expl_dev 0.52065
epoch  330 | train_nll -1.31299 | train_fsce 0.70283 | gate_usage [0.321,0.679] | val_dev 0.71982 | expl_dev 0.51328
epoch  335 | train_nll -1.31516 | train_fsce 0.68960 | gate_usage [0.340,0.660] | val_dev 0.71411 | expl_dev 0.51714
epoch  340 | train_nll -1.31539 | train_fsce 0.63792 | gate_usage [0.342,0.658] | val_dev 0.68826 | expl_dev 0.53461
epoch  345 | train_nll -1.32397 | train_fsce 0.71171 | gate_usage [0.348,0.652] | val_dev 0.69785 | expl_dev 0.52813
epoch  350 | train_nll -1.32547 | train_fsce 0.68553 | gate_usage [0.339,0.661] | val_dev 0.70110 | expl_dev 0.52593
epoch  355 | train_nll -1.32814 | train_fsce 0.64662 | gate_usage [0.364,0.636] | val_dev 0.69879 | expl_dev 0.52749
epoch  360 | train_nll -1.32930 | train_fsce 0.70080 | gate_usage [0.343,0.657] | val_dev 0.68698 | expl_dev 0.53548
epoch  365 | train_nll -1.32011 | train_fsce 0.65550 | gate_usage [0.321,0.679] | val_dev 0.73481 | expl_dev 0.50314
epoch  370 | train_nll -1.31634 | train_fsce 0.66390 | gate_usage [0.341,0.659] | val_dev 0.70030 | expl_dev 0.52647
epoch  375 | train_nll -1.32013 | train_fsce 0.68315 | gate_usage [0.321,0.679] | val_dev 0.70703 | expl_dev 0.52192
epoch  380 | train_nll -1.32105 | train_fsce 0.63364 | gate_usage [0.326,0.674] | val_dev 0.69167 | expl_dev 0.53231
epoch  385 | train_nll -1.32025 | train_fsce 0.67362 | gate_usage [0.320,0.680] | val_dev 0.70529 | expl_dev 0.52310
epoch  390 | train_nll -1.31953 | train_fsce 0.68977 | gate_usage [0.342,0.658] | val_dev 0.68957 | expl_dev 0.53373
epoch  395 | train_nll -1.31433 | train_fsce 0.64807 | gate_usage [0.364,0.636] | val_dev 0.68552 | expl_dev 0.53647
epoch  400 | train_nll -1.32667 | train_fsce 0.69361 | gate_usage [0.339,0.661] | val_dev 0.68030 | expl_dev 0.54000
epoch  405 | train_nll -1.31884 | train_fsce 0.63909 | gate_usage [0.321,0.679] | val_dev 0.67776 | expl_dev 0.54171
epoch  410 | train_nll -1.32803 | train_fsce 0.65734 | gate_usage [0.321,0.679] | val_dev 0.69188 | expl_dev 0.53216
epoch  415 | train_nll -1.33013 | train_fsce 0.64985 | gate_usage [0.338,0.662] | val_dev 0.67297 | expl_dev 0.54495
epoch  420 | train_nll -1.33330 | train_fsce 0.68666 | gate_usage [0.326,0.674] | val_dev 0.68146 | expl_dev 0.53921
epoch  425 | train_nll -1.33171 | train_fsce 0.68480 | gate_usage [0.308,0.692] | val_dev 0.69223 | expl_dev 0.53193
epoch  430 | train_nll -1.30996 | train_fsce 0.67000 | gate_usage [0.317,0.683] | val_dev 0.68003 | expl_dev 0.54017
